Gene	C10_+DDM_-RNase_R1	C10_+DDM_-RNase_R2	C10_+DDM_+RNase_R1	C10_+DDM_+RNase_R2	C10_-DDM_-RNase_R1	C10_-DDM_-RNase_R2	C10_-DDM_+RNase_R1	C10_-DDM_+RNase_R2
Nat2	1.203515507	0.997328393	2.194937485	0	1.855631369	1.386358789	1.808967737	0.871339741
Gm15486	2.635756397	0	2.162747173	0	0	1.387000566	0.364802168	0.985893845
Creld1	1.302428827	0.547658874	2.153052036	0	0	0.557623878	1.213307389	1.613484252
Gm41816	4.402667302	0	2.119175343	0	0	0	0	0
Gm15972	1.349406385	0	2.109035748	0	0	3.550455995	2.334559329	0
LOC118567471	1.077806119	0	2.105677411	0	1.174510416	3.999264249	2.900603226	2.239716377
Gm26851	0.49154847	0.05597893	2.100707584	0	0.937390666	2.300626463	0.425205141	0
Halr1	2.041415104	0.040431674	2.080826773	0	0	4.715533305	0.25592599	0.922201603
4930470H14Rik	3.415538998	0.207451329	2.065401574	0	0.283580369	0	0.187590504	0.202788622
Gm46957	3.400728523	0	2.061900334	0	2.55576071	0.71202172	0	0.365525438
Gm46752	1.539146352	1.154801297	2.034136204	0	0	0	1.670790026	0.470352423
5430425K12Rik	2.745982761	0	2.022772315	0	0.147165311	1.321094836	0.934569002	0
5730405O15Rik	2.543638642	4.924504967	1.987772137	0	0	1.158339732	3.007115956	1.519657241
AV039307	2.456081711	2.276224328	1.985533655	0	3.276343244	2.785455341	3.418879178	0.219992162
Gm31490	2.021691286	0	1.974858743	0	0.881233621	0.716062465	3.264478183	0.630171095
Mir17	2.01447096	1.223539469	1.967805676	0	0.731738632	0	0.774480793	0.697689427
B230217O12Rik	1.183527463	1.762047117	1.945650238	0	2.233413102	2.307754465	2.230694936	0.659841382
4930500G05Rik	1.27366551	0	1.910675834	0	1.834067474	2.4857597	0.682042763	0.567153986
Zfp189	2.536104563	1.332360997	1.898703212	0	2.925033324	1.030332273	4.825317815	2.423480438
Gm52350	2.877815657	0	1.855359637	0	0	0	0	0
Gm19522	0.691130748	0	1.829359269	0	0.145769277	0	1.182843394	1.13505521
Zbtb9	1.620838704	0.572215657	1.800994563	0	2.450693608	5.310282202	2.617210957	4.925927937
Pspn	2.080191289	1.093375696	1.797541639	0	2.441204627	0	1.107342751	0.748160577
LOC118567712	1.091713295	0	1.777372869	0	0	0	0.419718624	0
Gm40163	2.368721759	2.0231755	1.735387683	0	1.774610225	0	0.512255013	0.922927746
Gm52570	1.271102803	0	1.707279291	0	0.77914705	0.321579763	0.824658422	0.165087076
Gm32816	0.953864491	0	1.677182741	0	2.910455348	3.088905953	0.366721458	0.396432324
Tcp11x2	2.35021612	0	1.675294021	0	0	0	0	1.253955322
Mir484	0.841868461	1.533989782	1.644733102	0	0.917403658	0	0.970990845	0
Gm40053	1.270387092	0	1.644270058	0	0	0	0	0.362987067
Fjx1	1.55712712	1.079860545	1.634567879	0	1.874119215	3.104496846	2.171226748	0.893456423
Lce1g	2.202371722	0.724568927	1.613515283	0	0	0.495274689	0.493920506	0.572075062
Gm34097	0.968329389	0	1.596202887	0	3.363485299	0	0.06980299	0
1700092M07Rik	1.484347023	0	1.594958285	0	0.970516501	0.901269599	1.36960814	0.771130419
Serpinb9d	1.868537316	0	1.544444498	0	1.185912046	0	0.189461628	0.554697382
1700065J11Rik	2.098797652	1.553610582	1.537634203	0	0.714721454	0.796470808	0.453881767	0
n-TAagc8	0.783405373	0	1.530515526	0	0	0	2.710682777	0
n-TCgca52	0	0	1.530515526	0	0	0	0	0
n-TRcct1	0	0	1.50954956	0	0	0.781923396	0	0
Gm40377	3.002866064	0.073940515	1.506291539	0	4.864219395	0.082130083	2.527370417	0.758925477
BB557941	2.87414965	0	1.504055294	0	0	0	0.118391968	0.586592385
Engase	1.203138161	0.212155009	1.503836815	0	2.128755231	0.981887751	0.790823049	0.483902025
Gm26579	0.983096939	0.83968395	1.500505417	0	0	0	0	0.638408626
Gm41667	1.333906447	0	1.489150241	0	0	0	0	0
Gm33508	1.139498725	0.692103134	1.484136267	0	0.551883682	0.064063309	0.51110517	0.920856079
Mir688	1.504138317	0.685182103	1.469294905	0	0.819547268	1.522144211	0.867418489	0
4930431P22Rik	0.711986931	1.657698636	1.468264544	0	0	2.161530173	0.547459074	0.24658869
Gm40715	1.502030204	0.10803502	1.467235627	0	0.603030575	0.520003716	0.227948096	0.574970404
Gm32950	1.031802199	0.179054556	1.463855442	0	0.107083702	0.298329658	0.198342642	0.102100892
LOC115488529	0.938348765	0	1.4597893	0	1.666362282	0.105509072	1.723613448	0.541644287
Spice1	2.129700703	3.148615474	1.445044729	0	2.876660939	2.064857623	1.794456064	3.683573027
Eprn	1.425245917	0	1.434418839	0	0	0	0.697388525	0
Gm39188	0.609127288	0	1.428040404	0	0	0.493135274	0.140510554	0
Gm23143	2.917509666	3.101039689	1.424962731	0	1.059759398	2.46036241	3.925816436	0.505223378
Gm31616	1.303386789	0	1.404903494	0	0	0.500306364	0.622053099	0.653771128
Gm40308	1.074384512	0.81569298	1.399328481	0	0	0.181207644	0.413056423	0
Tmem265	1.24626845	3.448338733	1.39775395	0	2.665875932	2.335532239	1.490653704	3.309171783
Gm26533	1.334850323	1.640364418	1.394900226	0	0	1.696390769	0.966715707	0.129016867
Hoxaas3	0.743062342	0.246173211	1.38571226	0	0.36806015	0	0.311647361	0.210560162
A930001C03Rik	1.276563324	0.775352757	1.385546327	0	3.091335042	2.727228207	2.344865571	0.933371606
Gm30794	1.584939136	0	1.366079973	0	1.117564456	0.912028556	1.003624698	1.033272275
Gm41832	1.078787727	0.561624674	1.354882597	0	4.142520342	0	0	0
Apol7a	1.632078244	1.820201894	1.346884204	0	1.609861495	0.412903924	1.606530875	2.382829542
Hmgxb3	1.095037888	1.026990685	1.331845638	0	1.310277322	0.760492683	2.872683994	2.900178357
Gm46046	2.030586728	0.102777315	1.322365414	0	0.491728361	3.082342027	0.130112773	0.234423647
Stom	1.676207227	2.046057347	1.31944039	0	4.061086071	0.708152781	8.296284737	7.964046305
Lmcd1	0.718121592	1.249029875	1.307315345	0	0.889265699	3.13810113	2.033012083	2.306251162
LOC118568395	1.753529126	0.443770792	1.284681426	0	2.070099964	0.640799053	1.57303871	0.202438383
Hoxd3	1.146762931	0.053124043	1.272089403	0	2.795836647	0	1.053635483	0.525070196
Mir3098	0.648335481	0	1.266633538	0	0	0	0	0
Mlana	1.281936066	0	1.252239976	0	0	0.081080125	0.18481928	0.083247034
Gm30662	0.463286956	0	1.244525972	0	0	0	0	0
Ccdc152	1.156634044	0.07025107	1.242824637	0	0.462150715	0	0.911589833	0.220322977
Gm42190	1.375736266	0	1.23187835	0	0	0	0	0
Gm36446	1.259909673	1.94252658	1.230723825	0	3.907635168	0	1.45314953	0.201394886
Zkscan8	1.378203401	0.524138966	1.204238847	0	1.329628637	0.454237723	1.071877251	0.643732276
Septin14	0.84415926	0.384540976	1.199424412	0	1.547104536	0	1.062145088	0.119603902
LOC118567845	0.875856939	0	1.197794759	0	0	0	0	0
Zxdb	1.304050204	2.376142807	1.195451572	0	1.847370019	2.456599451	1.434641996	0.687887281
Ivl	0.729726903	0.984928753	1.188037926	0	0	0	0.74813286	0.926686675
4930443O20Rik	1.094487341	0	1.183683525	0	0.042596012	0	0.090168242	0
Gm43403	1.319419576	0	1.181450581	0	1.078351668	0.556339258	1.394971254	0.685449262
1700122H20Rik	0.133979066	0	1.177878932	0	0	0.271165833	0	0.139206441
Gm42029	0.960088287	0	1.172309764	0	0.523115277	0	0.922785626	0.290951336
Snord89	3.600331078	0	1.172309764	0	1.307788193	0	0	0
Gm41472	1.577767465	0	1.155913824	0	0.859664966	1.995818459	1.819759067	1.229494655
Gm30840	1.021263829	0	1.1510841	0	0.17121461	0	1.359116713	0.163247665
Gm36568	1.655369615	0	1.137905021	0	0	0.37226353	0.141426927	0.127404156
Gm39226	0.855549964	0	1.134206522	0	0	0	0	0
Gm35417	1.155413512	0.478479122	1.128648321	0	0.457847636	1.169244855	1.090330502	0.87308621
Gm52898	0.511611672	0	1.124460386	0	0	0	0	0
Ubd	0.421383467	0.658125819	1.11726	0	0	0	0.624874578	0
Enkur	0.987914032	3.000171843	1.102890254	0	2.973336626	1.285380328	2.875720177	0.830942871
Gm34295	0.249304693	1.81705751	1.09588294	0	2.784649556	0	0.503198571	0.647579137
Gm40481	1.179444252	0	1.084350483	0	1.360871847	0	0.320080623	0.216257977
Pxdn	1.336106677	1.266212611	1.075605721	0	1.068211235	0.271779112	2.439324104	1.778896266
Slc9a9	1.679879564	0.515063866	1.072938719	0	1.513768579	0	3.036709915	0.704882102
LOC115487230	0.709093778	1.938086519	1.070486288	0	2.318147986	3.131268091	0.297400625	0.602803665
Slc25a29	1.206220901	2.302546781	1.066061731	0	3.442599266	1.569420584	2.384959185	1.820244717
4930556N13Rik	0.818257063	0	1.065736149	0	2.140017043	0	0	0.056678832
Gm39625	0.544977651	0	1.064706453	0	0	0	0	0
Fam185a	0.970113779	4.224039767	1.058404304	0	1.606327289	0.038249101	1.671093246	2.303917911
Gm46815	0.613934007	0.978831575	1.04949636	0	0.75264545	1.164906284	0	0
Gm40929	1.072581854	1.839415041	1.047735461	0	0.89380155	0	1.164320119	0.196664134
Oas1a	0.589307923	0.639162409	1.041664298	0	0	0	0.873891761	0.612300572
Slc41a3	1.442504053	2.314804401	1.040803932	0	0.428708248	0.116118238	1.039843437	1.10705733
Gm10814	0.114761316	0.026138687	1.036951516	0	0.250116155	0	0.099272207	0.119238885
Gm24283	1.054302559	0	1.029879606	0	0	0	1.216007227	0
Gm26180	1.054302559	0	1.029879606	0	0	0	1.216007227	0
LOC118568627	0.488658797	0.063599824	1.022869287	0	0.076071838	0.070644069	0.56360731	0.145064138
Gm36548	0.261741006	0	1.022711071	0	3.280090573	1.258152843	0.150942892	1.019824453
Enho	1.176050408	0.741776936	1.01625249	0	0	0.411967659	0.730384453	0.375980188
BC048644	1.582193181	0	1.004602056	0	0.431038184	0	0	0.08219623
Gm22208	2.051097705	4.20452654	1.00179198	0	0	0	0.591421697	2.663905085
Mir219a-1	1.025548852	0	1.00179198	0	2.235128912	0	0.591421697	0
Castor1	1.554697588	1.001862907	1.000108296	0	0.475199676	0	1.508870816	1.024372241
Gm24830	1.698951412	1.857421363	0.995757089	0	0	4.814010306	3.919059437	0
Casp14	1.040598836	0	0.993391209	0	0	0.933390318	0.300050421	0.589745025
Gm6288	1.498410129	0.353219457	0.992859041	0	0.822135472	0.731664155	0.76138814	0.489924955
Msrb2	0.656965571	0	0.990123854	0	0.613637721	0.018995144	0.562883878	0.390055986
Ube2d-ps	1.011614765	0.33514342	0.988180676	0	1.068974697	0.248175687	0.919275029	0.35036143
H3c1	0.78652651	0.409471376	0.98782277	0	0.367326963	1.478177894	0.259188791	1.284193288
Gm46280	0.654289263	1.415733924	0.985329473	0	0.53474568	0.634533292	0.880415092	0.254931468
Gm35078	1.119150533	0	0.983902838	0	1.707390141	0	0	0
Gm34756	0.376872073	0	0.981711518	0	0	0	0	0
Gm30246	1.27248144	1.805848709	0.980061135	0	1.546651026	0.321928548	1.439425475	3.178194787
LOC118568516	0	0	0.973472773	0	0	0.201697554	0	0
2210406O10Rik	0.562397758	0.542519554	0.96947611	0	0	0.669564902	0.343406147	0.034372969
Gm34335	0.644361288	0.801829153	0.951827989	0	0.085631158	0.906543118	1.214482559	0.620513974
Mir3569	0	0	0.949975154	0	0	0	0	0
Defb43	0.276496014	0.251905185	0.945318413	0	1.807824855	0.419708882	0.318903856	0.574567763
Ppil6	0.333265506	0.493391839	0.935943025	0	2.360586665	0.379411869	0.144142659	0.216417695
Gm41527	0.366267447	0	0.93023541	0	0	0	0.084488814	0
Ccdc103	0.512774426	0.851897534	0.91339857	0	0.953216742	0.763107058	0.173947558	0.219380419
4933407O12Rik	0.442586471	1.254474643	0.912704987	0	0.160765593	0	1.928436919	0.102189907
Mblac2	0.857486737	2.476083224	0.908608032	0	0.950260939	0.073538274	0.720799955	0.649331154
LOC118568242	0.736056697	0.247060854	0.908218004	0	0	0.039203577	0.134044753	0.281759192
9330159F19Rik	0.826900743	1.146066446	0.902268978	0	0.182135817	0	0.933435367	0.859163399
Gm39535	2.029295358	0	0.901039394	0	0	0	0	0
6330418K02Rik	0.685083242	1.525709136	0.892284355	0	0	0.693284307	0.526772362	0.869993294
Naif1	0.711064442	0.777389086	0.88560558	0	0.503661258	0.665608286	1.066162025	1.680787261
Gm16701	1.32576294	0	0.882989726	0	3.152104876	0	2.154645284	0.375678922
Gm7247	0.899213124	0.67028684	0.878382823	0	0.623568573	0.496351373	1.037130802	0.169872208
C1qtnf12	0.725880528	1.439349232	0.875904419	0	0.232649679	0.475309983	0.886460984	0.443648084
Gm40102	2.006508624	0	0.871123461	0	0	0	0	0.23164392
Gm40637	0.757116602	2.069341921	0.862840968	0	1.100063447	0	2.474180253	0.393328268
Six4	0.601120997	2.443401132	0.850681399	0	2.015555516	0.694105247	2.319950391	1.857708916
Gm35607	1.118164498	0	0.849537252	0	0	0.041909257	0.286592012	0.301205127
5430434I15Rik	0.381584905	0	0.847148815	0	0	0	0	0
Catsperz	0.505552251	0	0.846584772	0	0	1.023208337	0	0
Zfp747	1.513104864	0	0.841669492	0	1.534361036	2.084157964	1.090736736	1.26644668
Patl2	0.660763638	0.383089035	0.841050065	0	0.480033011	0.243154027	1.062333612	0.457696152
Purg	0.547439899	0.008599173	0.839017547	0	0.719983794	0.066861254	0.794698164	0.3824683
Mir193a	0.854624044	0	0.83482665	0	0	0	0	0
Gm28710	0.781327375	0.363491832	0.828183467	0	7.554182375	1.463600203	1.073727572	0.138180753
Gm33044	0.98709077	0.513886577	0.826478384	0	1.075655789	0	0.4879229	0
4921504E06Rik	0.619218619	0.076929128	0.824828726	0	0.306716792	0.028483237	0	0.087733401
Gm43653	1.03192092	0.283817233	0.817824658	0	0	0.374362358	0.359303482	0.040459725
Gm39520	0.483222006	0.400223191	0.815321355	0	0.765932026	0	0.202667871	0.684648503
7420700N18Rik	1.090885298	0	0.814881986	0	0.664308792	1.298757859	0.962153614	0.233356873
Gm13842	1.215629028	1.949224948	0.807478881	0	0.529879699	0.049207248	0.448664735	0.101044676
Cfap126	0.826351982	0.995715958	0.807209512	0	0.95859144	1.106000342	1.690974133	0.609324226
Zfp850	1.29354577	2.357002413	0.804828497	0	0.61950878	2.21784816	1.330396455	0.796136401
Fam227b	0.994049114	1.449025595	0.804561032	0	16.00097951	1.839449198	2.325782201	0.413133316
1700066O22Rik	0.704331158	0.320844897	0.802684521	0	0.063960505	0.059396886	0	0.0609843
Gm5105	0.677539782	0.802465526	0.794213462	0	0.664497785	1.919821527	1.054968432	0.316788713
3110082J24Rik	0.588320072	0	0.790200975	0	0.801382596	0	0	0.229227817
9330162012Rik	1.037425099	0	0.788194644	0	0	0.544363563	0.265898038	0.159689133
Gm12359	0.966255878	0.036679984	0.786560441	0	0.833586621	0.611139271	0.65009951	0.041831486
5830408C22Rik	0.803492691	0.439219297	0.784879757	0	0	0	0	0
Lyz1	0.267534483	0	0.784011115	0	0	0	0	0
Platr8	0.627188883	0	0.776036041	0	0.63789817	0.042313127	0.192902555	0
Tes	0.531252784	1.178445877	0.767138003	0	1.082325937	0.210370054	0.61273419	0.911967507
Gm26534	0.431322249	0	0.766055738	0	0.341834105	0	0.090450312	0.101852471
Zfp111	0.805221327	0.470128466	0.764411494	0	0.302788399	0.728783734	1.249197733	0.91912358
Mucl3	0.75697145	0.591127198	0.76056293	0	0	0.787919741	0.773292939	0.022471592
Vmn1r40	0.245062362	1.19075818	0.758054033	0	0	1.570641203	0.423973555	2.546238025
n-TYgta4	0	0	0.75477478	0	0	0	0	0
Gm32934	0.973660964	0.152942434	0.754325509	0	0.585390906	0.645552232	0.232344238	0.174422357
Fcer1g	0.60005518	0.702884376	0.753627706	0	0	0	0.098869889	0
Gm36926	0.549758157	0	0.751832188	0	0	0	0.88770898	0.799690805
C330024C12Rik	0.888906957	0	0.749908753	0	0	0	0	0
Gm16835	0.823286815	0.219531468	0.745370324	0	0.350109192	0	0.903239259	1.25181727
Gm5544	0.759665817	1.499556791	0.742068134	0	0.758840063	0	0	0.131550868
Gm5106	0.689549962	1.821847278	0.740934166	0	0	0	1.868979323	0.573162952
Nin	0.718022906	0.183983578	0.740843063	0	0.171160122	0.676663281	0.740159383	0.825304034
Lincmd1	0.649579887	0.295903979	0.74028774	0	0.235954108	2.08162716	0	0
Spint4	0.15122034	0	0.738586581	0	0	0	0	0
Gm42123	0.37729222	0	0.737104467	0	0	0.190904374	0	0
Fam81b	0.250133866	0.085457857	0.733018522	0	0	0.759384584	0	0
Pllp	0.955514018	0	0.729202739	0	0.260311467	0.543910716	0.241077134	0
Ulk3	0.556935471	1.099373368	0.725378724	0	0.505754622	0.861059362	1.070593307	1.17340416
1700022H01Rik	0.824637235	0	0.724981038	0	0	2.586977552	0.475558382	0.599768104
Gm39918	0.69019005	0.10841489	0.72069845	0	0	0	0.137249761	0.049456466
Ptpn18	0.536553502	0.549938073	0.720670806	0	0	0.237552233	0.309423956	0.20905795
Upk1a	0.646848473	2.5537177	0.716112769	0	2.020672736	0.3927551	2.188441141	0.537668916
LOC118567656	0.549401171	0	0.7155657	0	0	0	0.211222035	1.331952543
Gm32081	1.184600048	0	0.712097692	0	1.290886246	0	0	0.946783714
Gm14023	0.601739781	0.750199383	0.711547925	0	1.967189539	0	0.438336126	0.230343281
4931428F04Rik	0.394123854	0	0.710758083	0	0.099112139	0	0.034967152	0.126000348
1500015L24Rik	0.507501681	0.85867937	0.708207698	0	0.158010399	0.586945069	0.334480137	0
Mir5135	0.713989707	0	0.697450113	0	0	3.612684045	1.64699713	0
Gm33318	0.611622508	2.445604795	0.697029962	0	1.555164996	0	1.293289614	1.871152608
3110083C13Rik	1.093373064	0	0.691087968	0	0	1.301719679	0.667625405	0.400952647
Mir344-2	0	0	0.688731987	0	0	0	0	0
1700101I11Rik	0.540797573	2.069341921	0.686750974	0	1.296503348	0.054727141	0.124748584	0.056189753
Gm19583	0.78455238	0.413817888	0.685706809	0	0.044997105	0.083573072	0.095250932	0.085806606
Gm40381	0.099832189	0	0.682637013	0	0.870315683	0	0	0
Gm41747	0.697316871	0	0.681163503	0	0	0	0.089363168	0
Ptges	0.479451822	0.789077278	0.679856088	0	0.640446864	0.813869266	0.392443243	1.044525438
9430037G07Rik	0.514872653	0.080876074	0.676375133	0	0.348249547	0	0.655273646	1.162156893
AU021092	0.447660213	0	0.67581205	0	0	0	0.657135219	0
Gm21885	0.829488042	0	0.675227438	0	0	0	0	2.585554936
Mir19a	0	0	0.671933645	0	3.747929578	0	0	1.429412485
n-TSaga5	0	0	0.671933645	0	0	0	0	0
H2bc18	1.601770013	3.231335475	0.670570697	0	2.244196372	0.11578176	1.319602163	0.118876089
2700070H01Rik	0.969161287	0	0.662697444	0	0	0	0.223561466	0.100697443
Gm10373	1.182144635	0.076929128	0.659862981	0	4.048661652	0	1.947796007	0.263200203
Myf6	0.584742767	0	0.659073671	0	0	0	0	0.280411062
1810008I18Rik	0.402894192	0	0.655935225	0	0.21952159	1.97063313	0.077448079	0
Gm42112	1.84111886	0.152488599	0.65398883	0	0	0	6.177461047	0.869523915
Tspan2os	0.57361207	0	0.653711716	0	0	0	0	0
D830035M03Rik	0.332914256	0	0.650404574	0	0.518263449	0.048128506	0.383975301	0.691806717
Ttc36	0.369143893	0	0.649066794	0	0	0.224137727	0.255457016	0.153418617
Dtx3l	0.413703359	0.912518145	0.648718798	0	0.901644359	1.465295166	1.444023251	2.070040894
Lcat	0.911096998	0	0.647266478	0	1.3990069	0	0.095530671	0.301205127
Vmn1r44	0.882192561	0	0.646317407	0	0	0	0	0
Gm35677	0.686346301	0.284229302	0.6399722	0	1.39386496	0	0.395807662	0.486221614
Gm36709	0.326986591	0	0.638823872	0	1.336218371	0.413626144	0	0
LOC118568504	0	0	0.63697756	0	0	0	0	0
Mir27a	0	0	0.633316769	0	0	0	0	0
Hoxd10	0.566682897	0.0184387	0.63263505	0	0	0	0.186742409	0
Clvs2	0.857221685	0	0.628023088	0	0	0	0.049434944	0.178133471
Gm39867	0.160698538	0	0.627903805	0	0	1.300977958	0	0
Trmt44	0.832329503	1.624937793	0.624305147	0	3.935770476	3.263886302	2.862823866	2.409096773
LOC118568372	0.353859391	0.386865679	0.622192008	0	0	0.286476326	0.081626583	0
Prss37	1.173071478	0	0.620694338	0	0	0	0	0
Gm30934	0.235777309	0.363521051	0.620080245	0	0.494100041	0.036707658	0.460205951	0.226132136
Gm20559	0.700742077	0.016582335	0.613391508	0	0.059502464	0	0.808219066	1.049573446
Gm32333	0.313943526	0.286022214	0.613342029	0	0	0.105900571	2.534664415	0
Fzd4	0.437734266	0.662298388	0.610848769	0	0.519599328	1.083705084	1.036791084	1.396925837
LOC118568766	0.681723226	0.108016096	0.608024034	0	0.032299551	0	0.034186225	0
Gm30021	0.44274087	0.484037592	0.60547867	0	0.868437058	0.179216351	1.225552025	0.184006003
LOC115486435	0.309918609	1.035302628	0.60547867	0	0.675451045	0.731800101	1.429810696	0.64402101
Fam131c	0.656772724	0.668756504	0.603819824	0	0.631500463	0	0.178236676	0
Matn3	0.336859112	0	0.603268893	0	0	0	0	0.175001064
Pkp1	0.71261371	0	0.601718738	0	0.026323788	1.552293748	0.236821964	0
Tha1	1.103579743	0.558572366	0.59889738	0	0	0.930658825	1.272842347	0.700722859
Fhl4	0.46476184	0	0.598448767	0	1.151049533	0.08551372	0.657873573	1.097488986
Rasa4	0.755573266	0.089787987	0.593665312	0	0	0	0	0.017066369
Krt88	1.972916851	0	0.592988975	0	0	0	0	0
Gm46535	1.21115432	0.315267839	0.591548946	0	2.356826882	0.087546638	0.698458139	0.808977311
Pmch	0.150816008	0	0.5892894	0	0.739564714	0.839417763	0.347895116	0.235050449
1700097N02Rik	0.467261903	0.06081498	0.586848557	0	0	0	0	0.277424435
Abca1	1.130050236	1.073881076	0.586267258	0	0.359416099	0.399431535	1.128758242	0.483139227
Cysltr1	0.358922323	0	0.58434646	0	0.343716797	0.132079617	1.229372521	0.858860259
Gm5396	0.39792019	0.181265107	0.583053534	0	0.108405723	0.402683654	0.229475791	0.206722793
Hyal3	0.030822506	0	0.572061541	0	0	0	0.213299628	0
Ankrd23	0.972503222	0.177202268	0.569985092	0	1.365912113	0	0.623145466	0.696085543
LOC118568237	0.258295074	0	0.567701237	0	0.351837694	0	0.409628078	0
1700009N14Rik	0.803238421	0	0.566678217	0	0	0	0.360280622	0.185461746
Gm33045	0.937111491	0.121966751	0.566678217	0	2.18826901	0.135475652	0.617623924	0.185461746
LOC118567864	0	0.075349938	0.565527731	0	0	0	0.095390596	0
LOC118567660	0.646958388	2.466830213	0.561752512	0	0.052222638	0.242482616	1.077824588	2.240667829
Gm36486	0.215286973	0	0.560799582	0	1.329418278	0	1.075996217	0.67106006
4933407K13Rik	0.985754155	0.898083769	0.554902548	0	2.23943233	0.050723111	2.273890292	0.850618982
Gm2959	0.251949467	0.516468922	0.553754361	0	1.784608791	0.095612074	2.03414721	0.261779618
Gm36495	0.1889621	0.258234461	0.553754361	0	0	0	0	0
Gm39227	0	0	0.553754361	0	0	0	0.980749547	0.29450207
BC049762	0.087112258	0	0.553112947	0	0.75942604	0	0.050236592	0.090511061
Gm41075	0.28062282	0.383497446	0.548244367	0	0.458701829	0.141991064	0	0
Wdr78	0.302016554	0.497901324	0.5478949	0	0.595540467	0.625817833	1.376766979	0.403457323
4930517G24Rik	0.957372338	0	0.545530286	0	0.434696217	0	1.28824528	0.828937933
Zfp108	0.699663026	0	0.542743922	0	0	0	0.332283624	0
Hfe	0.350975671	0.536372983	0.541916778	0	0.641556472	0.481207774	0.417865189	0.352905933
C8g	1.069480369	0.974363594	0.541699315	0	0.258986145	0	0.456856648	0.205779185
Wnk4	0.3159217	0.227861026	0.540055887	0	0.545089781	0	0.136641185	0.232508869
Nlrx1	0.73695219	0.077470338	0.539910502	0	0.06177492	0	0.212495735	0.33867738
Megf9	0.626314943	0.05034813	0.539829121	0	2.428932546	0.913435659	1.381014086	1.531179931
Zfp46	0.655673632	0	0.539355731	0	0.291441939	0.130958415	0.696535189	2.240972464
Prph	0.528048558	0.328012709	0.539262492	0	0	0	0.055367138	0
Pkdcc	0.965369947	0.37693392	0.538861212	0	0.050094576	0.628024048	0.26510345	0.262699686
Fmo3	0.605915093	0	0.538071864	0	0	0	0	0
2810029C07Rik	0.519597423	0	0.535758761	0	0.471847838	0	0.23305768	0
Rhbdl1	0.328999794	0.099913139	0.535630839	0	0	0	0	0
Ms4a6d	0.473075761	0	0.533211861	0	0	0	0.251831174	0
Zfp128	0.824077867	0.013406903	0.531867122	0	0.320720298	0.506322429	1.374789282	0.504564334
